"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp"
"1",11,1,0.00544016339434435,1,1,0.005154303,50,84,"day",1
"2",12,1,0.00181995969856407,1,2,0.001353887,50,84,"day",1
"3",13,1,-0.00197527586424301,1,3,-0.002628633,50,84,"day",1
"4",15,1,-0.000459141209601555,1,5,-0.001035788,50,84,"day",1
"5",16,1,0.000986416160255308,1,6,0.000481154,50,84,"day",1
"6",17,1,0.000549021691682885,1,7,2.12145e-05,50,84,"day",1
"7",18,1,0.000830930178280068,1,8,0.000313996,50,84,"day",1
"8",19,1,-0.00368182832724788,1,9,-0.004397909,50,84,"day",1
"9",20,1,0.00235819341317915,1,10,0.00192335,50,84,"day",1
"10",21,1,0.00498867316428692,1,11,0.004680978,50,84,"day",1
"11",22,1,-0.00204487218119024,1,12,-0.002697915,50,84,"day",1
"12",23,1,-0.00408458557139621,1,13,-0.004835534,50,84,"night",1
"13",24,1,-0.00616806882137411,1,14,-0.007022549,50,84,"night",1
"14",25,1,-0.00122366644747491,1,15,-0.001832216,50,84,"night",1
"15",26,1,-0.0161886020508221,1,16,-0.017548031,50,84,"night",1
"16",27,1,-0.00185337352281632,1,17,-0.002493396,50,84,"night",1
"17",28,1,-0.00086949902606525,1,18,-0.001463793,50,84,"night",1
"18",30,1,-0.00319497697285564,1,20,-0.003903872,50,84,"night",1
"19",31,1,-0.00464780893465973,1,21,-0.005425168,50,84,"night",1
"20",32,1,-0.0042332923366448,1,22,-0.004988133,50,84,"night",1
"21",33,1,-0.00307821195432348,1,23,-0.003778415,50,84,"night",1
"22",34,1,-0.00398907574997931,1,24,-0.004733567,50,84,"night",2
"23",35,1,0.00374680015451033,1,25,0.003374867,50,84,"day",2
"24",36,1,0.000231318453427558,1,26,-0.00031258,50,84,"day ",2
"25",37,1,0.00249058218227228,1,27,0.002059524,50,84,"day",2
"26",38,1,-0.0027782239387926,1,28,-0.003471687,50,84,"day ",2
"27",39,1,-0.00115797218896949,1,29,-0.001768104,50,84,"day",2
"28",40,1,-3.39396328195754e-06,1,30,-0.000556116,50,84,"day ",2
"29",41,1,0.00198348198739634,1,31,0.001526233,50,84,"day",2
"30",42,1,-0.00214500347833032,1,32,-0.002805418,50,84,"day ",2
"31",43,1,0.00487000362860038,1,33,0.004568766,50,84,"day",2
"32",44,1,-0.00218383470678785,1,34,-0.002846918,50,84,"day ",2
"33",45,1,-0.00112844781815876,1,35,-0.001737906,50,84,"day",2
"34",46,1,-0.00188191281352016,1,36,-0.002527713,50,84,"day",2
"35",47,1,-0.00535142393933462,1,37,-0.006166167,50,84,"night ",2
"36",49,1,-0.00440781147263009,1,39,-0.005174653,50,84,"night ",2
"37",50,1,0.00116925441740747,1,40,0.000675867,50,84,"night ",2
"38",51,1,-0.00516464335670422,1,41,-0.005974067,50,84,"night ",2
"39",52,1,-0.00061794935616621,1,42,-0.001198769,50,84,"night ",2
"40",54,1,0.000125533488152241,1,44,-0.000415466,50,84,"night ",2
"41",55,1,-0.00476733784527115,1,45,-0.005554482,50,84,"night ",2
"42",56,1,-0.00195047793419567,1,46,-0.002594096,50,84,"night ",2
"43",57,1,-0.0028529398269115,1,47,-0.003546099,50,84,"night ",2
"44",58,1,-0.00288580757498118,1,48,-0.003577756,50,84,"night",2
"45",60,1,0.00332560366001686,1,50,0.002936771,50,84,"day ",3
"46",61,1,-0.00028749593697691,1,51,-0.000856711,50,84,"day",3
"47",62,1,-0.00326310264262131,1,52,-0.003979845,50,84,"day ",3
"48",63,1,0.000750692942598065,1,53,0.000235005,50,84,"day",3
"49",64,1,-0.00171064902413081,1,54,-0.002350564,50,84,"day",3
"50",65,1,0.000461927144466969,1,55,-6.85e-05,50,84,"day ",3
"51",66,1,-0.00223624908062837,1,56,-0.002903701,50,84,"day",3
"52",68,1,-0.00107300465567507,1,58,-0.001685656,50,84,"day",3
"53",69,1,-0.00109004023008454,1,59,-0.001695411,50,84,"day",3
"54",70,1,-0.000526475893271547,1,60,-0.001108344,50,84,"day",3
"55",71,1,-0.00801431740309419,1,61,-0.008960562,50,84,"night",3
"56",72,1,-0.00102141319548831,1,62,-0.001626141,50,84,"night",3
"57",73,1,-0.00389271398637289,1,63,-0.004631996,50,84,"night",3
"58",74,1,-0.0030741001701378,1,64,-0.003779798,50,84,"night",3
"59",75,1,-0.00292305686956059,1,65,-0.00361363,50,84,"night",3
"60",76,1,-0.0024944949428317,1,66,-0.003167923,50,84,"night",3
"61",77,1,-0.00305219186289375,1,67,-0.003750531,50,84,"night",3
"62",78,1,-0.00177400618538276,1,68,-0.0024085,50,84,"night",3
"63",79,1,-0.00285747291438315,1,69,-0.003546737,50,84,"night",3
"64",80,1,-0.00332004486781366,1,70,-0.004033582,50,84,"night",3
"65",81,1,-0.00268724495714686,1,71,-0.003368328,50,84,"night",3
"66",82,1,-0.00647612373036318,1,72,-0.00734507,50,84,"night ",3
