"","Chamber","X.1","X","AutoResp.Cycle.Loop","MO2.no.Background.Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial","Max.Dark.MO2","MO2.from.Dark.Max"
"1",1,1,1,13,-0.00722673698546132,1,0.008587292,"50 NTU",67,"day",1,9,0,-0.00722673698546132
"2",1,2,2,14,-0.00365752170936287,2,0.012306859,"50 NTU",67,"day",1,9,0,-0.00365752170936287
"3",1,3,3,15,-0.0014602836639985,3,0.014586194,"50 NTU",67,"day",1,9,0,-0.0014602836639985
"4",1,4,4,16,-0.00127400401340078,4,0.014781646,"50 NTU",67,"day",1,9,0,-0.00127400401340078
"5",1,5,5,17,-1.71965813391112e-05,5,0.016095864,"50 NTU",67,"day",1,9,0,-1.71965813391112e-05
"6",1,6,6,18,-0.00174637567626571,6,0.014286734,"50 NTU",67,"day",1,9,0,-0.00174637567626571
"7",1,7,7,19,-0.00225796244371141,7,0.013758324,"50 NTU",67,"day",1,9,0,-0.00225796244371141
"8",1,8,8,20,0.00289532521450264,8,0.019120352,"50 NTU",67,"day",1,9,0,0.00289532521450264
"9",1,9,9,21,-0.00032581184971673,9,0.015769872,"50 NTU",67,"day",1,9,0,-0.00032581184971673
"10",1,10,10,22,0.00547846642852861,10,0.021802373,"50 NTU",67,"day",1,9,0,0.00547846642852861
"11",1,11,11,23,-0.000129362273768219,11,0.015974235,"50 NTU",67,"day",1,9,0,-0.000129362273768219
"12",1,12,12,24,0.000911972295743318,12,0.017053546,"50 NTU",67,"day",1,9,0,0.000911972295743318
"13",1,13,13,25,-0.0282742560979464,13,-0.013314882,"50 NTU",67,"night",1,9,0,-0.0282742560979464
"14",1,14,14,26,-0.0247015439273412,14,-0.009594773,"50 NTU",67,"night",1,9,0,-0.0247015439273412
"15",1,15,15,27,-0.0261745484851864,15,-0.011131569,"50 NTU",67,"night",1,9,0,-0.0261745484851864
"16",1,16,16,28,-0.0264247876826768,16,-0.011389713,"50 NTU",67,"night",1,9,0,-0.0264247876826768
"17",1,17,17,29,-0.0220327573305004,17,-0.006818036,"50 NTU",67,"night",1,9,0,-0.0220327573305004
"18",1,18,18,30,-0.0270426098558527,18,-0.01203097,"50 NTU",67,"night",1,9,0,-0.0270426098558527
"19",1,19,19,31,-0.0241724294673662,19,-0.009045132,"50 NTU",67,"night",1,9,0,-0.0241724294673662
"20",1,20,20,32,-0.0257075245739857,20,-0.010645282,"50 NTU",67,"night",1,9,0,-0.0257075245739857
"21",1,21,21,33,-0.0251824410543377,21,-0.010094797,"50 NTU",67,"night",1,9,0,-0.0251824410543377
"22",1,22,22,34,-0.022929467823327,22,-0.007751578,"50 NTU",67,"night",1,9,0,-0.022929467823327
"23",1,23,23,35,-0.0262381136902112,23,-0.011194264,"50 NTU",67,"night",1,9,0,-0.0262381136902112
"24",1,24,24,36,-0.0256450324980393,24,-0.010578084,"50 NTU",67,"night",1,9,0,-0.0256450324980393
"25",1,25,25,37,-0.00693917462812589,25,0.008889004,"50 NTU",67,"day",2,9,0,-0.00693917462812589
"26",1,26,26,38,-0.00432791483009478,26,0.011602803,"50 NTU",67,"day",2,9,0,-0.00432791483009478
"27",1,27,27,39,-0.000456535684589164,27,0.015624951,"50 NTU",67,"day",2,9,0,-0.000456535684589164
"28",1,28,28,40,0.00314841180133767,28,0.019383334,"50 NTU",67,"day",2,9,0,0.00314841180133767
"29",1,29,29,41,-0.0058430291658047,29,0.010024817,"50 NTU",67,"day",2,9,0,-0.0058430291658047
"30",1,30,30,42,0.000912900637074644,30,0.017059487,"50 NTU",67,"day",2,9,0,0.000912900637074644
"31",1,31,31,43,-0.000136381651737695,31,0.015965747,"50 NTU",67,"day",2,9,0,-0.000136381651737695
"32",1,32,32,44,-0.000654546650366121,32,0.015427004,"50 NTU",67,"day",2,9,0,-0.000654546650366121
"33",1,33,33,45,0.00758549696360226,33,0.023997531,"50 NTU",67,"day",2,9,0,0.00758549696360226
